"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Women's Strawweight","Seo Hee Ham","Cortney Casey","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Flyweight","Fredy Serrano","Yao Zhikui","TKO","1","0:44","(arm injury)"
"Bantamweight","Marco Beltrán","Ning Guangyou","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Welterweight","Dominique Steele","Dong Hyun Kim","KO","3","0:27","(slam)"
"Welterweight","Neil Magny","Kelvin Gastelum","Decision","5","5:00","(split) (47-48, 48-47, 48-47)"
"Featherweight","Ricardo Lamas","Diego Sanchez","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-27)"
"Flyweight","Henry Cejudo","Jussier Formiga","Decision","3","5:00","(split) (30-27, 28-29, 30-27)"
"Welterweight","Erick Montaño","Enrique Marín","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Lightweight","Enrique Barzola","Horacio Gutiérrez","Decision","3","5:00","(unanimous) (30-27, 30-27, 30-26)"
"Lightweight","Leandro Silva","Efrain Escudero","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Bantamweight","Érik Pérez","Taylor Lapilus","Decision","3","5:00","(unanimous) (29-28, 29-28, 29-28)"
"Welterweight","Bartosz Fabiński","Héctor Urbina","Decision","3","5:00","(unanimous) (29-28, 30-27, 30-27)"
"Bantamweight","Alejandro Pérez","Scott Jorgensen","Submission","2","4:26","(ankle injury)"
"Featherweight","Andre Fili","Gabriel Benítez","KO","1","3:13","(head kick and punches)"
"Welterweight","Alvaro Herrera","Vernon Ramos","KO","1","0:30","(punches)"
"Lightweight","Polo Reyes","Cesar Arzamendia","KO","1","3:42","(punch)"
"Lightweight","Michel Prazeres","Valmir Lázaro","Decision","3","5:00","(split) (29-28, 28-29, 29-28)"
"Women's Bantamweight","Holly Holm","Ronda Rousey (c)","KO","2","0:59","(head kick and punches)"
